N,P,K,temperature,humidity,ph,rainfall,label
70.09,40.75,43.12,26.36,72.81,6.02,1387.54,rice
84.97,43.96,46.55,34.97,81.04,5.94,1915.84,rice
31.59,56.61,41.35,26.43,40.04,6.32,415.41,chickpea
79.59,39.95,31.71,23.77,69.32,7.36,706.59,cotton
75.63,45.38,67.5,18.63,80.57,6.22,1198.78,turmeric
149.9,53.58,188.76,24.71,86.83,6.55,1451.07,banana
26.02,44.2,47.28,23.22,64.08,6.51,529.99,groundnut
78.23,33.39,39.43,27.29,80.9,5.94,1587.65,rice
136.02,50.16,172.02,26.38,72.22,6.02,1262.26,banana
93.52,76.74,69.85,27.87,54.61,6.28,593.08,tomato
116.6,66.9,35.4,28.37,84.83,6.72,1439.25,sugarcane
67.17,72.11,74.29,26.43,65.59,6.7,754.63,onion
140.27,84.9,123.61,18.5,66.85,5.6,449.38,potato
102.85,47.99,39.97,23.51,68.38,6.37,609.75,maize
98.56,36.18,34.58,25.42,59.58,6.96,720.67,cotton
151.35,46.83,179.47,31.58,93.72,6.91,1228.84,banana
148.78,54.08,56.33,27.44,82.86,6.89,1543.69,sugarcane
19.37,54.36,28.2,20.76,41.65,7.21,380.36,chickpea
51.33,25.82,43.23,25.5,56.27,6.2,867.72,mango
79.49,52.15,50.91,29.95,63.85,5.91,624.92,chilli
76.64,61.39,85.63,17.42,65.32,6.42,742.06,onion
120.23,63.68,149.49,32.46,85.94,6.52,1358.05,banana
62.07,26.53,36.56,28.03,60.74,6.52,1033.52,mango
38.98,34.63,34.14,27.12,51.67,6.19,939.35,mango
136.59,87.4,113.94,19.53,82.93,5.82,514.33,potato
122.92,77.54,123.78,16.39,68.52,5.77,432.45,potato
87.35,62.04,87.35,17.47,74.58,6.69,701.81,onion
129.97,61.83,204.83,23.16,88.19,6.52,1142.56,banana
104.29,57.89,79.78,25.53,84.36,6.29,1280.02,turmeric
87.01,53.53,44.39,18.16,41.17,6.42,693.59,wheat
70.97,38.33,36.5,21.45,67.54,6.38,575.66,maize
72.86,36.79,34.03,24.54,65.56,7.27,820.9,cotton
130.46,83.68,129.48,19.23,65.22,5.38,556.39,potato
61.67,34.85,39.99,26.38,57.7,7.57,710.65,cotton
106.5,79.77,78.42,16.57,62.48,6.32,629.75,tomato
109.38,91.27,71.3,21.74,65.12,6.46,685.36,tomato
104.12,47.37,36.08,16.1,59.83,7.1,650.35,wheat
27.94,57.78,50.96,23.39,62.71,6.35,544.91,soybean
130.48,83.2,98.2,21.72,65.19,5.74,467.03,potato
96.55,49.6,53.75,33.24,77.44,7.18,1301.28,sugarcane
136.68,63.92,208.38,23.14,78.11,6.99,1367.09,banana
96.85,62.34,69.59,32.23,68.64,6.4,622.19,chilli
121.43,29.52,30.73,28.82,75.88,6.58,673.42,cotton
57.7,25.9,43.58,27.98,68.64,6.21,859.18,mango
94.76,64.05,66.25,23.59,78.67,6.12,670.68,chilli
128.27,79.48,103.68,19.92,76.46,5.06,473.23,potato
84.52,62.91,38.63,24.04,58.73,7.05,629.2,maize
127.86,51.7,172.05,24.45,67.32,6.78,1258.46,banana
147.78,62.96,70.08,29.42,73.32,6.23,1493.99,sugarcane
21.04,47.61,29.26,34.12,32.6,6.75,457.17,chickpea
137.63,55.02,195.3,34.05,84.4,6.24,1226.61,banana
97.2,60.03,85.84,16.06,85.54,6.76,688.78,onion
79.72,43.92,39.47,27.83,61.88,7.09,548.33,cotton
68.32,48.49,72.44,26.73,75.65,7.09,1248.3,turmeric
111.17,58.0,43.76,13.64,55.35,6.35,708.11,wheat
129.94,47.29,177.91,21.19,83.29,7.1,1545.87,banana
82.87,49.2,76.73,25.02,70.05,6.19,655.91,tomato
30.69,53.59,54.42,28.26,56.39,6.62,551.99,soybean
122.13,60.71,44.94,27.12,66.43,6.49,1596.31,sugarcane
81.51,51.06,60.98,33.02,77.89,6.46,1280.96,turmeric
103.37,43.47,35.68,26.55,71.12,6.8,640.0,maize
35.38,47.99,43.08,31.41,65.43,5.26,867.52,mango
76.56,65.86,58.45,29.29,74.42,6.71,1256.27,turmeric
33.88,48.07,35.28,27.31,43.15,6.6,395.99,chickpea
105.41,59.81,39.86,24.34,72.74,7.23,545.0,maize
22.8,52.15,33.66,15.95,37.96,6.72,447.19,chickpea
61.98,49.06,47.24,26.05,66.31,5.86,1678.36,rice
61.83,40.39,36.82,31.97,54.96,6.9,812.22,cotton
120.51,76.11,41.85,18.97,49.46,6.82,746.03,wheat
27.21,47.57,38.3,24.61,44.03,7.13,476.89,chickpea
86.38,44.98,32.68,31.5,54.14,6.58,781.86,cotton
121.0,40.8,44.45,13.05,52.02,6.95,709.11,wheat
83.36,59.74,68.67,27.31,80.4,6.24,1277.55,turmeric
31.45,42.27,35.76,16.91,51.34,6.42,312.21,chickpea
83.17,51.93,60.44,30.46,64.17,6.4,548.88,chilli
122.2,35.66,64.45,28.83,85.92,6.89,1278.2,sugarcane
81.87,41.65,43.71,33.06,76.08,6.03,1459.98,rice
80.34,39.23,43.96,21.89,84.57,6.21,1201.25,rice
83.07,51.93,67.01,28.56,85.09,6.23,1037.28,turmeric
79.41,45.76,72.57,15.62,73.47,6.53,836.2,onion
120.47,64.78,61.99,28.19,55.36,6.33,622.95,tomato
31.05,50.25,43.64,27.12,73.65,6.7,709.47,soybean
87.88,62.07,85.93,24.08,62.2,6.37,699.02,onion
102.41,104.45,113.92,23.57,72.07,5.44,513.26,potato
34.91,52.02,47.41,22.07,68.33,6.62,609.86,soybean
110.13,75.35,121.91,27.13,73.9,5.04,392.36,potato
27.88,42.92,36.21,19.18,48.02,7.11,376.81,chickpea
104.82,58.67,46.79,14.35,55.51,5.99,844.19,wheat
150.12,55.69,61.35,22.49,75.57,6.66,1375.63,sugarcane
127.9,73.04,177.32,24.82,86.92,6.82,1147.7,banana
112.96,71.14,118.35,19.43,78.98,5.78,524.23,potato
29.93,43.37,38.35,11.21,47.33,5.68,385.53,chickpea
105.71,56.33,79.25,26.9,71.07,6.29,561.36,chilli
18.62,63.35,44.17,16.96,48.05,6.18,452.77,chickpea
70.63,39.53,31.02,25.01,57.95,6.47,652.45,cotton
79.17,34.13,36.74,24.23,83.8,6.02,1455.65,rice
77.91,41.0,91.33,20.43,62.94,6.57,661.48,onion
24.04,62.85,47.15,27.91,63.63,6.68,596.19,soybean
99.3,41.34,38.09,12.28,67.78,6.71,665.41,wheat
146.04,47.8,203.56,32.35,87.25,6.61,1257.42,banana
72.72,45.82,39.91,20.88,71.96,5.61,538.87,maize
85.5,64.28,71.75,26.97,59.45,6.7,544.61,onion
133.62,87.46,105.91,23.23,65.28,6.04,503.97,potato
108.56,64.65,61.21,28.09,80.19,6.84,1615.06,sugarcane
93.43,47.42,94.47,16.14,74.33,6.36,662.29,onion
87.91,52.28,61.0,26.65,70.22,6.39,689.7,chilli
101.02,45.1,38.47,23.58,50.78,7.05,650.01,cotton
151.74,56.5,129.29,18.53,79.48,5.47,447.29,potato
88.4,58.24,68.32,32.27,89.58,5.35,1351.85,turmeric
103.2,67.95,36.95,20.39,57.67,7.22,633.28,wheat
130.0,50.82,62.7,33.9,73.11,6.17,1605.48,sugarcane
103.7,63.23,71.99,23.65,69.15,6.32,451.44,tomato
76.39,45.63,65.09,31.93,79.46,6.11,627.82,chilli
91.17,54.04,39.0,6.51,70.4,7.16,662.37,wheat
35.13,40.55,45.45,25.52,68.39,6.63,667.78,groundnut
36.44,34.23,41.39,26.82,52.02,6.58,1004.01,mango
46.9,34.53,27.3,33.32,50.71,6.41,971.71,mango
83.11,58.81,84.94,17.31,65.11,6.69,612.81,onion
111.6,55.36,69.05,33.32,76.65,6.94,1274.3,turmeric
80.09,33.2,30.92,28.48,66.91,6.44,543.18,maize
93.19,52.41,70.76,28.44,69.24,6.24,622.23,chilli
111.96,53.94,39.53,14.4,49.85,6.24,692.41,wheat
82.51,38.66,39.58,29.96,61.78,6.39,606.15,cotton
123.59,91.22,131.19,15.65,68.65,5.87,453.31,potato
150.16,65.38,62.52,22.96,80.87,7.33,1705.47,sugarcane
23.19,70.72,44.51,22.12,66.91,6.73,651.31,soybean
33.89,43.72,46.42,31.2,65.96,6.78,854.04,mango
152.04,79.27,107.53,15.0,82.93,5.93,527.21,potato
74.24,42.94,28.11,22.06,91.04,6.41,1550.19,rice
158.77,82.37,131.77,22.65,75.9,5.91,473.8,potato
55.3,37.24,52.6,29.43,47.98,6.45,1002.58,mango
38.19,46.31,43.45,29.88,44.44,7.17,483.57,chickpea
102.62,44.01,63.1,25.05,72.67,6.58,723.9,chilli
200.0,47.68,179.49,36.52,79.47,6.92,1484.49,banana
95.08,37.56,37.63,19.87,51.73,6.68,551.01,maize
64.76,41.44,35.84,29.95,73.98,5.93,630.04,cotton
132.02,54.86,58.83,28.51,76.77,7.08,1591.35,sugarcane
32.83,32.67,51.71,31.63,54.36,6.61,1043.79,mango
23.4,55.58,55.1,27.21,55.14,6.39,662.84,groundnut
165.21,96.04,126.04,25.45,76.45,5.59,545.32,potato
42.66,52.75,43.91,27.0,40.29,6.19,410.0,chickpea
142.72,82.89,104.54,20.15,67.38,5.41,423.97,potato
118.87,59.89,77.9,22.18,54.88,6.76,842.52,onion
27.08,69.97,42.42,25.53,68.22,6.75,732.74,soybean
22.91,55.62,42.62,27.62,68.42,6.27,713.04,soybean
98.39,61.17,61.86,24.92,80.36,5.91,1171.79,turmeric
87.76,51.56,73.93,29.72,81.89,6.41,1065.79,turmeric
147.03,61.03,164.43,29.35,90.91,6.43,1160.09,banana
82.45,43.71,41.97,29.47,69.28,6.55,668.63,maize
84.79,51.56,38.44,23.39,75.99,5.88,1529.62,rice
112.48,44.63,39.48,20.66,47.12,5.8,677.29,wheat
37.53,25.4,28.65,31.0,56.82,7.47,816.14,mango
70.31,52.8,59.69,22.75,69.46,6.25,648.8,onion
87.41,47.98,27.72,25.9,66.17,7.17,718.03,cotton
116.24,52.25,60.32,27.43,83.14,6.83,1636.18,sugarcane
102.89,62.12,47.63,19.19,60.99,6.47,725.73,chilli
24.28,32.68,40.74,16.06,39.12,6.62,393.32,chickpea
64.11,45.17,48.08,25.53,62.8,6.19,631.16,maize
28.88,42.88,51.24,24.64,35.65,6.76,407.2,chickpea
110.44,49.95,36.68,25.98,65.23,6.83,584.34,cotton
94.87,55.84,54.01,31.58,77.86,6.35,1306.06,turmeric
88.29,28.42,43.97,31.78,73.26,6.29,1667.7,rice
25.85,52.25,51.54,31.36,73.84,6.35,679.36,groundnut
119.11,53.27,70.58,24.06,64.44,6.51,599.4,tomato
153.91,55.92,178.01,22.74,85.64,6.97,1206.28,banana
137.19,54.84,187.21,29.3,89.81,5.9,1389.22,banana
89.51,53.3,57.02,21.4,70.22,6.2,765.96,chilli
91.41,56.34,66.32,29.37,75.98,7.47,1163.41,turmeric
36.37,47.2,41.41,25.76,65.91,6.5,683.89,groundnut
100.87,51.03,35.9,22.09,53.06,6.88,642.96,wheat
40.17,32.49,38.38,36.32,56.55,6.99,867.29,mango
130.83,58.26,51.72,25.6,80.56,7.64,1650.5,sugarcane
84.72,60.94,69.09,22.61,74.48,6.59,986.64,turmeric
99.68,50.73,28.56,21.27,58.16,6.24,704.62,cotton
133.21,74.41,132.86,20.05,69.7,6.01,532.55,potato
83.11,24.04,38.9,29.22,61.0,5.51,573.44,cotton
163.91,54.38,219.55,33.44,70.1,6.36,968.09,banana
34.39,57.3,45.88,22.79,71.84,6.26,810.02,soybean
76.34,54.53,31.37,19.34,67.86,6.09,595.08,maize
127.71,50.3,42.78,17.69,51.24,6.24,732.3,wheat
124.4,75.15,105.42,20.58,71.93,5.59,449.91,potato
88.77,43.34,42.67,29.39,69.74,5.94,1463.6,rice
58.16,54.61,53.3,27.44,81.46,6.84,855.79,mango
42.63,43.59,58.52,24.1,65.13,6.55,597.72,soybean
100.16,69.09,73.05,18.16,52.44,6.58,550.22,tomato
81.99,26.87,39.84,28.93,60.48,6.89,670.72,cotton
193.19,61.18,162.94,29.22,82.16,6.25,1072.3,banana
107.58,56.14,62.75,23.53,60.99,6.46,497.88,chilli
26.62,34.93,38.37,16.78,46.55,6.78,403.15,chickpea
90.22,42.85,66.27,26.07,83.51,6.85,1039.6,turmeric
105.45,42.15,34.97,28.96,76.98,6.82,534.08,maize
41.07,38.93,43.34,23.21,39.3,6.37,450.86,chickpea
83.76,50.29,74.88,33.63,82.34,7.2,1074.65,turmeric
138.28,49.15,61.18,27.41,82.74,6.69,1491.16,sugarcane
47.5,60.1,89.28,21.25,69.18,6.36,687.51,onion
102.13,58.7,50.6,13.35,52.26,6.69,560.42,wheat
132.85,60.52,53.64,11.29,51.07,6.47,772.15,wheat
22.35,51.2,44.23,22.21,38.51,5.85,417.35,chickpea
95.74,35.16,35.02,24.85,56.76,7.4,521.66,maize
117.12,64.94,78.03,21.94,52.72,6.67,517.27,tomato
52.38,42.74,56.53,29.17,49.97,5.85,864.54,mango
100.67,59.37,45.61,21.51,46.0,5.88,785.8,wheat
93.66,55.77,71.09,18.86,71.31,6.66,700.13,onion
131.43,47.8,42.45,28.05,75.49,6.6,1533.41,sugarcane
74.23,61.4,61.36,29.82,71.48,7.02,1355.66,turmeric
98.01,58.81,56.13,21.23,69.08,7.32,1123.07,turmeric
138.66,51.03,182.66,33.07,73.83,6.44,1222.63,banana
70.07,55.13,72.75,23.86,66.16,6.42,625.98,onion
137.6,63.34,71.04,28.43,81.51,6.61,1361.54,sugarcane
35.21,34.2,48.96,27.64,41.38,6.84,355.46,chickpea
118.16,61.34,45.71,15.77,60.67,6.23,805.39,wheat
77.66,56.55,54.18,25.47,58.41,6.76,642.73,chilli
80.56,44.76,37.71,17.24,56.24,5.95,626.38,maize
31.77,30.27,48.07,29.76,44.58,6.39,1141.39,mango
63.93,43.88,78.93,15.76,75.14,6.21,766.78,onion
120.83,41.23,55.59,23.89,78.95,6.5,1666.74,sugarcane
33.25,52.35,40.49,6.72,34.54,6.79,430.8,chickpea
132.33,80.88,123.47,16.95,65.82,5.23,527.7,potato
87.82,52.26,68.68,16.25,85.05,6.95,1082.77,turmeric
127.02,88.54,54.67,20.87,56.98,6.59,722.93,tomato
84.3,52.73,43.99,27.4,81.27,5.98,1592.56,rice
31.88,56.93,35.87,11.16,49.38,6.4,330.59,chickpea
108.09,59.67,57.46,24.13,57.65,6.65,490.32,tomato
130.11,72.21,118.87,18.74,70.7,5.35,459.3,potato
79.02,65.41,42.78,28.86,68.69,5.7,599.68,maize
96.57,52.09,54.43,22.83,64.98,6.35,770.12,chilli
29.07,40.94,28.83,20.24,53.56,7.17,405.54,chickpea
28.93,42.17,44.87,24.68,54.33,6.84,443.1,groundnut
47.37,39.28,41.95,32.06,60.68,6.98,1058.42,mango
77.35,29.97,46.47,23.23,82.87,6.07,1872.13,rice
113.27,51.62,32.74,23.93,66.09,6.15,680.77,maize
27.55,45.03,48.81,26.21,72.3,6.25,688.55,groundnut
112.12,72.67,87.9,21.1,59.03,6.46,580.8,tomato
122.69,61.04,192.82,30.39,86.47,6.42,1375.16,banana
23.55,41.77,47.09,26.96,60.99,6.03,729.13,groundnut
91.49,72.76,81.89,24.32,64.49,6.39,655.43,tomato
124.52,65.02,56.91,23.36,63.89,6.31,620.82,tomato
73.07,45.23,70.84,28.41,70.86,6.56,1196.99,turmeric
48.83,49.85,47.66,25.69,64.85,6.6,671.3,groundnut
137.43,46.79,191.94,28.02,81.45,7.32,1388.56,banana
116.44,55.11,194.98,20.2,79.38,7.44,1309.9,banana
94.79,56.52,69.14,28.51,63.91,6.65,694.56,chilli
62.4,54.96,34.35,22.87,51.76,7.37,494.41,maize
38.37,57.23,28.91,21.55,46.1,6.87,362.29,chickpea
179.14,47.28,183.27,24.69,82.39,6.03,1437.26,banana
100.07,63.32,68.91,27.86,69.22,6.35,572.54,chilli
53.2,60.67,76.24,27.48,82.6,6.8,1162.91,turmeric
128.19,52.38,58.19,25.78,75.25,7.51,1363.1,sugarcane
99.31,60.52,67.65,26.06,67.67,5.77,600.76,chilli
45.8,54.02,36.5,28.52,57.62,5.82,988.51,mango
123.77,69.74,57.22,19.38,62.37,5.92,561.14,tomato
100.83,54.63,92.33,14.25,58.84,6.55,685.78,onion
38.28,31.89,45.27,27.03,61.64,5.93,948.51,mango
81.92,39.6,30.46,24.86,53.94,6.97,578.44,maize
87.61,48.3,82.2,30.25,78.75,6.65,1154.63,turmeric
39.96,48.53,47.05,22.46,66.85,6.91,552.21,groundnut
31.05,34.92,59.53,27.56,61.75,6.78,693.56,groundnut
81.88,59.88,61.61,26.87,67.71,6.5,657.72,chilli
77.91,41.05,29.24,26.43,70.0,5.83,546.55,maize
123.57,65.31,82.16,21.45,66.25,6.14,677.33,tomato
105.12,63.94,76.9,28.0,79.13,6.25,463.43,tomato
87.42,57.89,59.8,30.52,70.05,6.72,1292.13,turmeric
93.05,73.8,74.05,27.52,62.55,6.05,582.14,tomato
135.96,80.44,133.59,21.99,64.0,6.23,475.16,potato
94.03,74.31,66.42,23.14,59.93,6.54,617.18,tomato
78.47,33.96,42.57,25.71,66.87,7.61,533.13,cotton
110.67,55.16,158.65,30.47,87.54,6.42,1268.2,banana
125.38,55.76,190.76,28.03,71.82,6.76,1305.58,banana
47.5,31.06,47.05,25.32,53.04,5.65,799.15,mango
88.84,39.32,38.84,29.71,60.41,7.0,819.66,cotton
81.23,43.33,37.9,30.46,46.7,5.5,728.38,cotton
89.69,48.2,38.46,36.05,75.04,6.23,1800.12,rice
25.0,61.56,65.25,25.89,72.89,6.67,543.34,soybean
91.86,73.6,78.49,20.87,58.88,6.24,657.95,tomato
34.25,57.06,48.95,25.77,55.42,6.44,737.17,soybean
69.45,52.99,35.89,29.44,68.69,5.89,664.04,maize
140.96,104.85,121.49,19.15,75.19,5.45,372.79,potato
107.65,61.93,74.25,27.77,68.78,6.35,588.19,chilli
46.06,55.11,47.81,23.33,70.6,6.21,812.37,soybean
32.76,40.06,38.69,16.37,47.68,6.88,424.06,chickpea
111.53,63.52,84.88,16.99,66.58,6.62,588.29,onion
87.39,49.62,36.65,33.12,79.15,6.2,1673.46,rice
93.19,48.79,45.78,24.6,45.43,8.18,926.9,cotton
140.23,62.81,65.52,37.54,87.72,6.92,1374.21,sugarcane
90.5,69.22,55.07,21.17,72.39,6.14,655.74,chilli
130.93,77.75,118.76,22.24,77.14,6.52,530.53,potato
70.96,43.74,41.24,20.77,71.07,6.08,544.81,maize
117.56,77.58,78.31,20.88,57.64,6.26,744.65,tomato
74.38,43.43,31.98,25.08,88.53,6.4,1353.13,rice
99.51,47.22,46.66,14.51,47.87,6.21,651.71,wheat
145.2,81.58,145.63,18.63,75.54,5.66,569.09,potato
126.63,50.29,62.17,29.3,77.34,6.9,1435.53,sugarcane
147.51,74.99,124.58,22.04,80.24,4.86,463.17,potato
76.78,45.68,44.78,28.24,65.26,6.32,634.22,maize
58.98,32.06,63.91,32.16,59.02,6.79,742.14,mango
102.11,52.51,61.8,27.05,66.36,6.84,663.26,chilli
128.99,47.39,191.42,25.67,82.69,6.87,1405.24,banana
28.43,50.57,52.65,28.15,64.17,6.22,702.07,soybean
30.56,47.49,57.5,28.53,64.17,6.95,649.68,soybean
55.47,34.3,44.42,21.37,54.65,6.97,1009.86,mango
136.33,66.45,67.68,35.65,70.96,6.87,1523.29,sugarcane
34.43,57.59,41.68,28.03,72.49,6.73,744.8,soybean
24.56,41.91,61.32,30.14,66.2,6.34,700.13,groundnut
71.21,55.46,66.35,28.29,75.49,6.35,1269.87,turmeric
21.67,49.61,48.65,17.55,51.81,7.2,361.3,chickpea
107.04,43.29,76.96,20.71,79.53,6.73,615.22,onion
103.71,60.67,30.54,19.97,48.97,6.87,675.22,wheat
131.58,43.71,49.92,38.24,80.37,6.47,1562.73,sugarcane
94.94,49.4,33.47,22.98,70.98,6.57,722.39,chilli
98.31,56.52,39.64,18.2,66.32,6.98,750.86,wheat
31.59,57.21,41.99,29.6,69.18,6.57,539.48,groundnut
121.82,79.44,74.28,24.88,56.19,6.29,663.25,tomato
33.93,40.91,43.09,17.8,46.5,7.11,338.78,chickpea
98.22,58.99,65.05,23.98,68.99,6.18,578.11,chilli
13.05,56.47,55.7,25.86,71.4,6.9,674.66,soybean
80.1,37.64,45.39,29.35,78.75,6.02,1522.94,rice
147.76,56.93,53.38,30.8,88.17,7.09,1582.13,sugarcane
143.71,56.4,72.96,30.01,68.23,7.29,1357.87,sugarcane
105.73,74.42,65.54,21.23,62.52,6.5,623.19,tomato
82.67,48.82,32.62,32.3,79.48,6.04,1922.44,rice
33.9,48.94,59.49,26.2,56.36,6.23,655.16,groundnut
21.03,59.68,45.79,25.43,65.74,6.5,616.3,soybean
96.05,37.75,32.52,25.36,47.64,7.34,602.61,maize
24.71,45.49,46.28,29.91,70.58,6.15,675.47,groundnut
151.33,52.01,184.0,19.69,80.08,7.41,1268.55,banana
57.98,31.91,43.01,32.19,46.08,6.28,979.29,mango
108.65,61.31,79.36,16.68,68.76,6.48,642.98,onion
115.48,69.71,93.29,22.83,80.05,6.43,587.55,onion
81.39,46.97,44.67,24.11,51.24,7.64,586.44,cotton
85.98,46.25,44.12,20.82,57.41,5.53,540.68,maize
119.84,45.03,70.1,18.56,65.68,5.98,586.47,tomato
131.41,57.25,40.21,28.38,81.02,6.69,1404.93,sugarcane
129.88,44.45,46.16,14.74,44.39,6.83,800.95,wheat
110.88,45.83,45.74,20.25,61.68,6.36,567.84,maize
29.08,61.77,49.9,22.8,59.26,6.46,610.68,soybean
122.92,56.04,32.64,14.49,54.45,6.72,897.25,wheat
36.63,62.07,27.36,18.41,43.0,6.22,375.74,chickpea
94.77,37.09,37.42,24.13,57.75,6.62,738.35,cotton
92.64,78.82,55.75,19.73,74.77,6.62,755.52,tomato
31.45,55.42,51.65,19.4,77.15,5.95,569.06,soybean
62.37,47.43,40.09,25.62,86.32,6.26,1786.26,rice
25.67,60.59,36.48,28.31,38.47,7.29,410.05,chickpea
55.04,41.95,33.26,26.02,59.43,5.98,827.9,mango
116.1,64.51,143.26,18.25,66.71,5.59,486.08,potato
140.72,84.37,137.97,17.44,69.66,5.78,468.9,potato
100.51,47.83,57.06,25.35,72.9,6.09,1430.61,turmeric
85.43,32.16,34.64,23.07,60.58,7.53,590.29,cotton
63.68,33.58,37.24,27.49,67.55,6.47,726.08,cotton
11.04,46.98,42.22,25.38,68.66,6.66,669.32,soybean
21.22,62.74,50.69,20.98,67.26,6.6,605.75,soybean
109.2,51.07,58.16,31.27,71.2,6.46,1576.6,sugarcane
33.35,54.21,42.79,27.76,68.38,6.61,520.63,soybean
102.15,49.27,47.98,14.84,59.83,6.61,502.4,wheat
25.6,45.14,41.0,17.25,55.37,7.2,459.09,chickpea
120.9,49.19,36.52,26.2,74.33,6.11,534.26,maize
148.39,79.08,145.05,20.84,73.12,4.81,456.07,potato
112.27,68.91,66.69,30.28,55.11,6.57,601.16,tomato
118.23,64.06,62.45,31.75,71.88,5.64,1421.53,sugarcane
83.08,46.35,49.01,27.49,62.61,6.51,685.28,cotton
127.99,48.1,70.57,24.22,76.65,6.86,1703.02,sugarcane
142.91,77.47,125.15,17.54,76.29,5.2,495.18,potato
117.37,52.31,41.63,20.27,40.68,7.24,707.27,wheat
92.15,51.54,29.68,19.64,76.85,6.19,646.0,maize
132.36,73.68,116.13,18.53,72.05,6.04,499.98,potato
96.36,51.66,69.99,25.23,80.84,6.0,1212.68,turmeric
11.82,44.22,44.5,26.44,52.86,6.9,662.79,soybean
28.48,68.16,53.45,31.24,60.91,6.84,755.49,groundnut
113.74,52.55,43.28,23.18,57.86,6.61,649.98,wheat
28.58,73.9,48.34,23.51,60.34,6.04,677.27,soybean
91.15,54.25,88.24,24.79,69.46,6.49,736.82,chilli
143.81,66.72,89.45,30.13,73.36,6.92,1460.07,sugarcane
36.67,52.65,44.5,26.36,43.88,6.33,465.06,chickpea
124.38,58.0,223.04,24.08,87.0,6.63,1190.66,banana
24.8,53.34,58.32,23.33,77.87,6.71,679.72,soybean
33.39,42.15,44.58,24.09,62.69,6.41,727.44,soybean
86.94,50.71,62.69,24.99,69.76,6.64,592.76,chilli
55.92,36.18,44.53,30.86,46.38,6.45,820.26,mango
85.42,32.03,49.71,24.79,59.38,6.71,647.95,maize
111.41,70.21,59.31,23.12,60.32,6.61,628.45,tomato
84.58,55.77,26.07,17.76,65.67,6.28,575.48,maize
70.65,46.28,48.97,24.08,65.86,6.54,658.59,chilli
41.37,32.09,34.72,33.25,76.48,6.78,989.03,mango
144.62,53.64,41.84,21.23,67.77,6.14,521.36,wheat
139.62,71.71,64.73,21.37,70.65,6.66,708.7,tomato
30.9,56.61,42.36,21.34,73.52,6.51,718.04,soybean
53.19,25.49,36.04,24.83,58.79,7.03,891.47,mango
38.22,34.58,53.18,31.5,63.5,6.99,844.1,mango
82.39,39.61,92.61,20.31,58.66,6.62,585.81,onion
44.79,36.01,43.55,26.45,64.23,6.89,830.76,mango
34.75,41.16,34.96,26.28,40.78,7.17,423.73,chickpea
99.7,59.41,46.89,28.97,75.55,7.0,1534.23,sugarcane
108.02,51.07,34.01,13.45,39.84,6.71,640.16,wheat
84.66,51.47,30.15,20.32,39.51,6.76,492.22,wheat
93.25,51.3,75.52,18.66,70.24,6.12,634.19,onion
79.83,39.29,36.32,31.29,48.53,6.25,718.09,cotton
81.77,40.9,40.8,35.61,90.88,5.68,1765.95,rice
113.48,63.6,37.64,23.35,43.52,7.36,662.73,wheat
135.53,49.05,153.98,28.18,84.87,6.38,1183.32,banana
127.25,57.22,50.42,18.58,46.32,6.25,544.85,wheat
95.56,53.45,46.31,18.09,50.6,6.83,771.46,wheat
117.61,65.28,60.18,31.54,86.96,5.87,1691.83,sugarcane
92.72,50.41,35.44,26.27,85.56,5.69,1742.6,rice
38.92,37.42,53.63,26.78,49.37,5.87,959.56,mango
127.43,70.78,81.02,28.43,60.99,6.53,552.18,tomato
122.22,46.58,174.43,29.82,73.93,6.86,1129.91,banana
32.64,52.32,34.87,20.03,56.45,6.38,302.41,chickpea
73.71,43.34,40.21,26.88,72.01,7.78,793.29,cotton
90.61,68.3,91.23,22.11,58.28,6.43,564.86,tomato
154.5,48.55,181.35,35.04,83.5,6.9,1173.88,banana
118.77,50.74,168.31,25.22,81.86,6.74,1172.45,banana
117.62,74.63,73.66,19.87,74.61,6.5,654.24,tomato
61.38,34.87,40.3,29.6,70.15,7.6,671.45,cotton
54.23,47.6,40.58,32.22,66.19,6.91,562.78,maize
91.58,46.62,75.31,27.98,66.06,7.28,1206.8,turmeric
101.42,57.49,48.33,16.66,62.99,7.29,608.37,wheat
79.12,64.35,37.48,35.47,92.99,5.86,1713.8,rice
42.92,66.15,50.32,24.44,66.27,6.69,781.84,soybean
148.51,60.15,171.81,29.4,83.21,6.73,1094.82,banana
120.33,54.17,64.36,22.39,61.98,6.14,583.69,tomato
23.05,47.66,65.23,27.56,61.42,6.26,637.95,groundnut
117.5,63.66,62.34,26.03,63.71,6.6,634.34,chilli
89.5,59.44,25.6,15.14,51.34,6.99,702.26,wheat
80.56,72.11,70.52,24.09,61.95,6.49,556.9,tomato
87.22,35.27,44.93,17.14,51.14,6.84,693.96,wheat
57.2,20.06,53.52,29.47,69.76,5.13,711.83,mango
16.02,59.84,46.57,27.85,73.65,6.36,552.94,groundnut
80.56,75.35,70.98,21.02,52.69,6.71,692.35,tomato
30.97,40.73,35.36,21.03,54.98,6.62,441.33,chickpea
32.24,47.74,40.32,30.01,65.82,6.5,599.81,groundnut
96.97,51.64,54.66,24.75,68.51,6.2,734.33,chilli
123.35,77.51,134.07,19.64,69.78,5.56,400.68,potato
98.38,53.15,93.69,21.87,52.46,6.72,554.58,onion
29.67,48.76,34.63,22.69,33.39,7.04,429.39,chickpea
